         36611466 function calls (29663939 primitive calls) in 95.447 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   96.071   96.071 simulator.py:219(run_simulation)
        1    0.000    0.000   96.061   96.061 simulator.py:210(simulate_and_store)
        1    0.001    0.001   95.797   95.797 simulator.py:207(simulator_SBI)
        1    0.990    0.990   95.796   95.796 simulator.py:27(simulator)
     10/2    0.003    0.000   94.471   47.236 C:\Users\uhewm\anaconda3\envs\pangenome-hgt-sim\Lib\site-packages\line_profiler\line_profiler.py:146(wrapper)
        2    0.281    0.140   94.470   47.235 C:\Users\uhewm\OneDrive\PhD\Project No.2\pangenome-gene-transfer-simulation\gene_model.py:21(gene_model)
        3    0.096    0.032   58.864   19.621 C:\Users\uhewm\OneDrive\PhD\Project No.2\pangenome-gene-transfer-simulation\hgt_mutations.py:644(sim_mutations)
        3   14.003    4.668   56.996   18.999 C:\Users\uhewm\OneDrive\PhD\Project No.2\pangenome-gene-transfer-simulation\hgt_mutations.py:550(generate)
        2    0.000    0.000   35.313   17.657 C:\Users\uhewm\OneDrive\PhD\Project No.2\pangenome-gene-transfer-simulation\hgt_simulation.py:3375(run_simulate)
        2    0.029    0.014   33.319   16.660 C:\Users\uhewm\OneDrive\PhD\Project No.2\pangenome-gene-transfer-simulation\hgt_mutations.py:488(apply_mutations)
        2    0.000    0.000   32.244   16.122 C:\Users\uhewm\OneDrive\PhD\Project No.2\pangenome-gene-transfer-simulation\hgt_simulation.py:1242(simulate)
        2    0.325    0.162   32.234   16.117 C:\Users\uhewm\OneDrive\PhD\Project No.2\pangenome-gene-transfer-simulation\hgt_simulation.py:1342(hudson_simulate)
     4020    1.529    0.000   25.439    0.006 C:\Users\uhewm\OneDrive\PhD\Project No.2\pangenome-gene-transfer-simulation\hgt_simulation.py:2282(hgt_branch_event)
     1406    0.269    0.000   23.271    0.017 C:\Users\uhewm\OneDrive\PhD\Project No.2\pangenome-gene-transfer-simulation\hgt_mutations.py:412(choose_alleles)
5562094/35223   21.623    0.000   22.621    0.001 C:\Users\uhewm\OneDrive\PhD\Project No.2\pangenome-gene-transfer-simulation\hgt_mutations.py:394(find_bottom_mut)
  1284582    2.002    0.000   13.614    0.000 C:\Users\uhewm\anaconda3\envs\pangenome-hgt-sim\Lib\site-packages\bintrees\abctree.py:310(__getitem__)
  1294888   11.491    0.000   11.491    0.000 C:\Users\uhewm\anaconda3\envs\pangenome-hgt-sim\Lib\site-packages\bintrees\abctree.py:620(get_value)
1373169/1169    7.477    0.000   10.016    0.009 C:\Users\uhewm\OneDrive\PhD\Project No.2\pangenome-gene-transfer-simulation\hgt_mutations.py:470(follow_edge)
   639349    0.678    0.000    9.479    0.000 C:\Users\uhewm\anaconda3\envs\pangenome-hgt-sim\Lib\site-packages\bintrees\abctree.py:431(succ_key)
   639349    8.801    0.000    8.801    0.000 C:\Users\uhewm\anaconda3\envs\pangenome-hgt-sim\Lib\site-packages\bintrees\abctree.py:693(succ_item)
     2321    0.034    0.000    5.760    0.002 C:\Users\uhewm\OneDrive\PhD\Project No.2\pangenome-gene-transfer-simulation\hgt_simulation.py:2735(common_ancestor_event)
     1531    0.407    0.000    5.518    0.004 C:\Users\uhewm\OneDrive\PhD\Project No.2\pangenome-gene-transfer-simulation\hgt_simulation.py:2810(merge_two_ancestors)
        2    3.244    1.622    4.307    2.154 C:\Users\uhewm\OneDrive\PhD\Project No.2\pangenome-gene-transfer-simulation\hgt_mutations.py:210(place_mutations)
   155347    0.501    0.000    3.361    0.000 C:\Users\uhewm\anaconda3\envs\pangenome-hgt-sim\Lib\site-packages\tskit\tables.py:495(__getitem__)
        2    1.089    0.545    3.049    1.525 C:\Users\uhewm\OneDrive\PhD\Project No.2\pangenome-gene-transfer-simulation\hgt_simulation.py:825(__init__)
      202    0.175    0.001    2.819    0.014 C:\Users\uhewm\OneDrive\PhD\Project No.2\pangenome-gene-transfer-simulation\hgt_simulation.py:2663(defrag_breakpoints)
  1454094    2.429    0.000    2.469    0.000 C:\Users\uhewm\anaconda3\envs\pangenome-hgt-sim\Lib\site-packages\tskit\metadata.py:768(__get__)
        3    0.023    0.008    2.046    0.682 C:\Users\uhewm\OneDrive\PhD\Project No.2\pangenome-gene-transfer-simulation\hgt_mutations.py:546(rectify_hgt_edges)
     2986    0.431    0.000    1.874    0.001 C:\Users\uhewm\OneDrive\PhD\Project No.2\pangenome-gene-transfer-simulation\hgt_simulation.py:1786(store_arg_edges)
   155336    0.351    0.000    1.838    0.000 C:\Users\uhewm\anaconda3\envs\pangenome-hgt-sim\Lib\site-packages\tskit\tables.py:713(_make_row)
    11483    0.067    0.000    1.770    0.000 {built-in method builtins.sorted}
    75885    0.128    0.000    1.696    0.000 C:\Users\uhewm\OneDrive\PhD\Project No.2\pangenome-gene-transfer-simulation\hgt_mutations.py:548(<lambda>)
   198442    0.656    0.000    1.502    0.000 C:\Users\uhewm\OneDrive\PhD\Project No.2\pangenome-gene-transfer-simulation\hgt_simulation.py:1187(store_edge)
  6821944    1.497    0.000    1.497    0.000 {method 'append' of 'list' objects}
   183762    0.418    0.000    1.386    0.000 C:\Users\uhewm\anaconda3\envs\pangenome-hgt-sim\Lib\site-packages\tskit\metadata.py:793(new_init)
   200002    1.271    0.000    1.271    0.000 C:\Users\uhewm\OneDrive\PhD\Project No.2\pangenome-gene-transfer-simulation\hgt_simulation.py:122(__init__)
    39733    0.186    0.000    1.231    0.000 C:\Users\uhewm\OneDrive\PhD\Project No.2\pangenome-gene-transfer-simulation\hgt_simulation.py:1848(set_segment_mass)
   115958    0.376    0.000    1.112    0.000 C:\Users\uhewm\anaconda3\envs\pangenome-hgt-sim\Lib\site-packages\tskit\tables.py:1351(add_row)
     4681    0.017    0.000    1.033    0.000 C:\Users\uhewm\OneDrive\PhD\Project No.2\pangenome-gene-transfer-simulation\hgt_simulation.py:1156(store_node)
     6176    0.365    0.000    1.018    0.000 C:\Users\uhewm\OneDrive\PhD\Project No.2\pangenome-gene-transfer-simulation\hgt_simulation.py:1162(flush_edges)
  5526884    0.998    0.000    0.998    0.000 {method 'extend' of 'list' objects}
  1643789    0.372    0.000    0.864    0.000 {built-in method builtins.isinstance}
   199935    0.537    0.000    0.724    0.000 C:\Users\uhewm\anaconda3\envs\pangenome-hgt-sim\Lib\site-packages\tskit\trees.py:294(__init__)
     5707    0.495    0.000    0.677    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
    12727    0.026    0.000    0.647    0.000 C:\Users\uhewm\anaconda3\envs\pangenome-hgt-sim\Lib\site-packages\bintrees\abctree.py:317(__setitem__)
   159471    0.382    0.000    0.623    0.000 C:\Users\uhewm\anaconda3\envs\pangenome-hgt-sim\Lib\site-packages\tskit\metadata.py:692(validate_and_encode_row)
    12727    0.381    0.000    0.619    0.000 C:\Users\uhewm\anaconda3\envs\pangenome-hgt-sim\Lib\site-packages\bintrees\avltree.py:123(insert)
   383697    0.593    0.000    0.593    0.000 C:\Users\uhewm\anaconda3\envs\pangenome-hgt-sim\Lib\site-packages\tskit\metadata.py:778(__set__)
    39813    0.086    0.000    0.592    0.000 C:\Users\uhewm\OneDrive\PhD\Project No.2\pangenome-gene-transfer-simulation\hgt_simulation.py:589(mass_between)
        3    0.175    0.058    0.562    0.187 C:\Users\uhewm\OneDrive\PhD\Project No.2\pangenome-gene-transfer-simulation\hgt_mutations.py:181(populate_tables)
    83632    0.283    0.000    0.536    0.000 C:\Users\uhewm\OneDrive\PhD\Project No.2\pangenome-gene-transfer-simulation\hgt_simulation.py:594(position_to_mass)
   183848    0.126    0.000    0.492    0.000 <frozen abc>:117(__instancecheck__)
     6004    0.176    0.000    0.488    0.000 {method 'sort' of 'list' objects}
   778556    0.186    0.000    0.468    0.000 {built-in method builtins.len}
   435493    0.412    0.000    0.415    0.000 C:\Users\uhewm\anaconda3\envs\pangenome-hgt-sim\Lib\site-packages\tskit\tables.py:730(metadata_schema)
    46614    0.090    0.000    0.414    0.000 C:\Users\uhewm\OneDrive\PhD\Project No.2\pangenome-gene-transfer-simulation\hgt_simulation.py:71(set_value)
     8224    0.389    0.000    0.389    0.000 {built-in method numpy.array}
   183848    0.147    0.000    0.365    0.000 {built-in method _abc._abc_instancecheck}
